class,order,family,grouping
Amphibia,Anura,Bufonidae,Frogs
Amphibia,Anura,Eleutherodactylidae,Frogs
Amphibia,Anura,Hylidae,Frogs
Amphibia,Anura,Pipidae,Frogs
Amphibia,Anura,Ranidae,Frogs
Amphibia,Caudata,Plethodontidae,Salamanders
Amphibia,Caudata,Salamandridae,Salamanders
Reptilia,Squamata,Anguidae,Lizards
Reptilia,Squamata,Anniellidae,Lizards
Reptilia,Squamata,Boidae,Snakes
Reptilia,Squamata,Colubridae,Snakes
Reptilia,Squamata,Crotaphytidae,Lizards
Reptilia,Squamata,Dactyloidae,Lizards
Reptilia,Squamata,Dipsadidae,Snakes
Reptilia,Squamata,Eublepharidae,Lizards
Reptilia,Squamata,Gekkonidae,Lizards
Reptilia,Squamata,Iguanidae,Lizards
Reptilia,Squamata,Lacertidae,Lizards
Reptilia,Squamata,Leptotyphlopidae,Snakes
Reptilia,Squamata,Natricidae,Snakes
Reptilia,Squamata,Phrynosomatidae,Lizards
Reptilia,Squamata,Phyllodactylidae,Lizards
Reptilia,Squamata,Scincidae,Lizards
Reptilia,Squamata,Teiidae,Lizards
Reptilia,Squamata,Typhlopidae,Snakes
Reptilia,Squamata,Viperidae,Snakes
Reptilia,Squamata,Xantusiidae,Lizards
Reptilia,Testudines,Cheloniidae,Turtles
Reptilia,Testudines,Chelydridae,Turtles
Reptilia,Testudines,Emydidae,Turtles
Reptilia,Testudines,Geoemydidae,Turtles
Reptilia,Testudines,Testudinidae,Turtles
Reptilia,Testudines,Trionychidae,Turtles
